X Y  Z
 1.50000000000000E+0001  1.15000000000000E+0001  6.82232548779144E-0001
 1.50000000000000E+0001  1.05923742632465E+0001  7.49600131363027E-0001
 1.50000000000000E+0001  9.63936723965545E+0000  8.39526372485828E-0001
 1.50000000000000E+0001  8.63870986488478E+0000  9.10405952385092E-0001
 1.50000000000000E+0001  7.58801962137558E+0000  9.54885184860461E-0001
 1.50000000000000E+0001  6.48479486569093E+0000  9.85868206320194E-0001
 1.50000000000000E+0001  5.32640887222203E+0000  1.01520501594270E+0000
 1.50000000000000E+0001  4.11010357907969E+0000  1.04742104394761E+0000
 1.50000000000000E+0001  2.83298302128024E+0000  1.08191523166800E+0000
 1.50000000000000E+0001  1.49200643559081E+0000  1.11697750552397E+0000
 1.50000000000000E+0001  8.39810206169158E-0002  1.15318314494400E+0000
 1.50000000000000E+0001 -1.39444566510568E+0000  1.19377277332212E+0000
 1.50000000000000E+0001 -2.94679368511440E+0000  1.24289156328695E+0000
 1.50000000000000E+0001 -4.57675910612356E+0000  1.30292645625809E+0000
 1.50000000000000E+0001 -6.28822279818318E+0000  1.37257436622804E+0000
 1.50000000000000E+0001 -8.08525967484578E+0000  1.44793426712849E+0000
 1.50000000000000E+0001 -9.97214839534151E+0000  1.52547174373399E+0000
 1.50000000000000E+0001 -1.19533815518620E+0001  1.60328698976301E+0000
 1.50000000000000E+0001 -1.40336763662085E+0001  1.67972121559136E+0000
 1.50000000000000E+0001 -1.62179859212724E+0001  1.75056920249310E+0000
 1.50000000000000E+0001 -1.85115109540895E+0001  1.80728566227144E+0000
 1.50000000000000E+0001 -2.09197122385474E+0001  1.83925489585274E+0000
 1.80000000000000E+0001  1.12000000000000E+0001  6.79291797544367E-0001
 1.80000000000000E+0001  1.03007730953837E+0001  7.44950999289367E-0001
 1.80000000000000E+0001  9.35658484553659E+0000  8.31909585131918E-0001
 1.80000000000000E+0001  8.36518718319713E+0000  8.99745148278171E-0001
 1.80000000000000E+0001  7.32421963774069E+0000  9.42230449920448E-0001
 1.80000000000000E+0001  6.23120371501142E+0000  9.72888635698744E-0001
 1.80000000000000E+0001  5.08353699614570E+0000  1.00315480240840E+0000
 1.80000000000000E+0001  3.87848694133669E+0000  1.03683270451391E+0000
 1.80000000000000E+0001  2.61318438378723E+0000  1.07270910836869E+0000
 1.80000000000000E+0001  1.28461669836029E+0000  1.10888589827449E+0000
 1.80000000000000E+0001 -1.10379371337989E-0001  1.14602627417868E+0000
 1.80000000000000E+0001 -1.57512524452119E+0000  1.18748622670319E+0000
 1.80000000000000E+0001 -3.11310841136354E+0000  1.23740654971111E+0000
 1.80000000000000E+0001 -4.72799073654802E+0000  1.29811406112686E+0000
 1.80000000000000E+0001 -6.42361717799172E+0000  1.36827818472622E+0000
 1.80000000000000E+0001 -8.20402494150760E+0000  1.44402049984650E+0000
 1.80000000000000E+0001 -1.00734530931992E+0001  1.52183657724646E+0000
 1.80000000000000E+0001 -1.20363526524755E+0001  1.59984597372356E+0000
 1.80000000000000E+0001 -1.40973971897156E+0001  1.67640084642733E+0000
 1.80000000000000E+0001 -1.62614939538177E+0001  1.74730769890057E+0000
 1.80000000000000E+0001 -1.85337955561249E+0001  1.80404059629375E+0000
 1.80000000000000E+0001 -2.09197122385474E+0001  1.83600883247485E+0000
 2.10000000000000E+0001  1.10000000000000E+0001  6.78992715733899E-0001
 2.10000000000000E+0001  1.01063723168084E+0001  7.45347417983254E-0001
 2.10000000000000E+0001  9.16806324945735E+0000  8.31311972893844E-0001
 2.10000000000000E+0001  8.18283872873869E+0000  8.95617327808037E-0001
 2.10000000000000E+0001  7.14835298198409E+0000  9.34165445129685E-0001
 2.10000000000000E+0001  6.06214294789176E+0000  9.62637915728312E-0001
 2.10000000000000E+0001  4.92162241209481E+0000  9.92709778998922E-0001
 2.10000000000000E+0001  3.72407584950802E+0000  1.02725389527589E+0000
 2.10000000000000E+0001  2.46665195879189E+0000  1.06421650595328E+0000
 2.10000000000000E+0001  1.14635687353995E+0000  1.10140254195186E+0000
 2.10000000000000E+0001 -2.39952965974593E-0001  1.13945445984164E+0000
 2.10000000000000E+0001 -1.69557829746486E+0000  1.18174384336546E+0000
 2.10000000000000E+0001 -3.22398489552963E+0000  1.23238161570733E+0000
 2.10000000000000E+0001 -4.82881182349765E+0000  1.29365582845396E+0000
 2.10000000000000E+0001 -6.51388009786407E+0000  1.36424251728371E+0000
 2.10000000000000E+0001 -8.28320178594881E+0000  1.44029262091343E+0000
 2.10000000000000E+0001 -1.01409895584377E+0001  1.51833035960745E+0000
 2.10000000000000E+0001 -1.20916667195512E+0001  1.59649087103161E+0000
 2.10000000000000E+0001 -1.41398777387203E+0001  1.67313481007704E+0000
 2.10000000000000E+0001 -1.62904993088479E+0001  1.74407876618994E+0000
 2.10000000000000E+0001 -1.85486519574818E+0001  1.80081478111743E+0000
 2.10000000000000E+0001 -2.09197122385474E+0001  1.83277582197609E+0000
 2.25000000000000E+0001  1.09000000000000E+0001  6.76610414630459E-0001
 2.25000000000000E+0001  1.00091719275208E+0001  7.43888189587977E-0001
 2.25000000000000E+0001  9.07380245141774E+0000  8.29113378420815E-0001
 2.25000000000000E+0001  8.09166450150947E+0000  8.90293992874643E-0001
 2.25000000000000E+0001  7.06041965410579E+0000  9.25528211084128E-0001
 2.25000000000000E+0001  5.97761256433193E+0000  9.52446514209540E-0001
 2.25000000000000E+0001  4.84066512006937E+0000  9.82776260551804E-0001
 2.25000000000000E+0001  3.64687030359368E+0000  1.01828932897073E+0000
 2.25000000000000E+0001  2.39338574629421E+0000  1.05628907925869E+0000
 2.25000000000000E+0001  1.07722696112977E+0000  1.09441936181632E+0000
 2.25000000000000E+0001 -3.04739763292893E-0001  1.13335690959375E+0000
 2.25000000000000E+0001 -1.75580482393669E+0000  1.17644542351900E+0000
 2.25000000000000E+0001 -3.27942313761268E+0000  1.22773089827633E+0000
 2.25000000000000E+0001 -4.87922236697247E+0000  1.28948384141024E+0000
